TABLE_ID,TABLE_NUMBER,TABLE_TITLE,TABLE_TOPICS,TABLE_UNIVERSE,FIELD_LEVEL_1,FIELD_LEVEL_2,FIELD_LEVEL_3,FIELD_LEVEL_4,FIELD_LEVEL_5,FIELD_LEVEL_6,FIELD_LEVEL_7,FIELD_LEVEL_8,FIELD_LEVELl_9,FIELD_LEVEL_10
B01001e1,B01001,Sex By Age,Age and Sex,Total population,Estimate,SEX BY AGE,Total population,Total,,,,,,
B01001e10,B01001,Sex By Age,Age and Sex,Total population,Estimate,SEX BY AGE,Total population,Total,Male,22 to 24 years,,,,
B01001e11,B01001,Sex By Age,Age and Sex,Total population,Estimate,SEX BY AGE,Total population,Total,Male,25 to 29 years,,,,
B01001e12,B01001,Sex By Age,Age and Sex,Total population,Estimate,SEX BY AGE,Total population,Total,Male,30 to 34 years,,,,
B01001e13,B01001,Sex By Age,Age and Sex,Total population,Estimate,SEX BY AGE,Total population,Total,Male,35 to 39 years,,,,
B01001e14,B01001,Sex By Age,Age and Sex,Total population,Estimate,SEX BY AGE,Total population,Total,Male,40 to 44 years,,,,
B01001e15,B01001,Sex By Age,Age and Sex,Total population,Estimate,SEX BY AGE,Total population,Total,Male,45 to 49 years,,,,
B01001e16,B01001,Sex By Age,Age and Sex,Total population,Estimate,SEX BY AGE,Total population,Total,Male,50 to 54 years,,,,
B01001e17,B01001,Sex By Age,Age and Sex,Total population,Estimate,SEX BY AGE,Total population,Total,Male,55 to 59 years,,,,
B01001e18,B01001,Sex By Age,Age and Sex,Total population,Estimate,SEX BY AGE,Total population,Total,Male,60 and 61 years,,,,
B01001e19,B01001,Sex By Age,Age and Sex,Total population,Estimate,SEX BY AGE,Total population,Total,Male,62 to 64 years,,,,
B01001e2,B01001,Sex By Age,Age and Sex,Total population,Estimate,SEX BY AGE,Total population,Total,Male,,,,,
B01001e20,B01001,Sex By Age,Age and Sex,Total population,Estimate,SEX BY AGE,Total population,Total,Male,65 and 66 years,,,,
B01001e21,B01001,Sex By Age,Age and Sex,Total population,Estimate,SEX BY AGE,Total population,Total,Male,67 to 69 years,,,,
B01001e22,B01001,Sex By Age,Age and Sex,Total population,Estimate,SEX BY AGE,Total population,Total,Male,70 to 74 years,,,,
B01001e23,B01001,Sex By Age,Age and Sex,Total population,Estimate,SEX BY AGE,Total population,Total,Male,75 to 79 years,,,,
B01001e24,B01001,Sex By Age,Age and Sex,Total population,Estimate,SEX BY AGE,Total population,Total,Male,80 to 84 years,,,,
B01001e25,B01001,Sex By Age,Age and Sex,Total population,Estimate,SEX BY AGE,Total population,Total,Male,85 years and over,,,,
B01001e26,B01001,Sex By Age,Age and Sex,Total population,Estimate,SEX BY AGE,Total population,Total,Female,,,,,
B01001e27,B01001,Sex By Age,Age and Sex,Total population,Estimate,SEX BY AGE,Total population,Total,Female,Under 5 years,,,,
