STATE,STATE_FIPS,COUNTY_FIPS,COUNTY,CLASS_CODE
AL,01,001,Autauga County,H1
AL,01,003,Baldwin County,H1
AL,01,005,Barbour County,H1
AL,01,007,Bibb County,H1
AL,01,009,Blount County,H1
AL,01,011,Bullock County,H1
AL,01,013,Butler County,H1
AL,01,015,Calhoun County,H1
AL,01,017,Chambers County,H1
AL,01,019,Cherokee County,H1
AL,01,021,Chilton County,H1
AL,01,023,Choctaw County,H1
AL,01,025,Clarke County,H1
AL,01,027,Clay County,H1
AL,01,029,Cleburne County,H1
AL,01,031,Coffee County,H1
AL,01,033,Colbert County,H1
AL,01,035,Conecuh County,H1
AL,01,037,Coosa County,H1
AL,01,039,Covington County,H1
