CENSUS_BLOCK_GROUP,AMOUNT_LAND,AMOUNT_WATER,LATITUDE,LONGITUDE
010010201001,4259428,28435,32.465832,-86.4896607
010010201002,5558385,0,32.485867,-86.4896713
010010202001,2058380,0,32.4800823,-86.4749744
010010202002,1267300,5669,32.464435,-86.4697659
010010203001,3866515,9054,32.480175,-86.4607925
010010203002,1482758,0,32.4643093,-86.4584716
010010204001,2730125,1011,32.4851607,-86.4447716
010010204002,1783968,7397,32.4704175,-86.4359662
010010204003,750824,0,32.4632218,-86.4442795
010010204004,1119359,0,32.4560697,-86.4417625
010010205001,4317354,0,32.4460719,-86.418657
010010205002,5205213,43534,32.4704184,-86.4241658
010010205003,1886299,0,32.4519545,-86.4314867
010010206001,4195807,49891,32.4473399,-86.4768278
010010206002,3845797,9913,32.435977,-86.482796
010010207001,19595804,766963,32.4239656,-86.4401259
010010207002,2814798,6276,32.4523504,-86.449678
010010208011,80949289,7898024,32.3899639,-86.5275317
010010208012,43323378,219609,32.4551732,-86.5345905
010010208021,101678021,297206,32.5248216,-86.5730092
