created_on,name,database_name,schema_name,kind,comment,cluster_by,rows,bytes,owner,retention_time,automatic_clustering,change_tracking,is_external,enable_schema_evolution,owner_role_type,is_event,is_hybrid,is_iceberg,is_dynamic,is_immutable,is_interactive,row_timestamp,error_logging
2022-01-07 01:02:18.899 -0800,2019_CBG_B01,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,220333,31773696,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-01-07 01:02:19.029 -0800,2019_CBG_B02,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,220333,9717760,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-01-07 01:02:18.900 -0800,2019_CBG_B03,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,220333,13734400,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-01-07 01:02:18.903 -0800,2019_CBG_B07,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,220333,19938304,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-01-07 01:02:19.078 -0800,2019_CBG_B08,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,220333,126469120,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-01-07 01:02:18.965 -0800,2019_CBG_B09,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,220333,52627968,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-01-07 01:02:18.979 -0800,2019_CBG_B11,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,220333,164842496,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-01-07 01:02:18.867 -0800,2019_CBG_B12,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,220333,10597376,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-01-07 01:02:18.988 -0800,2019_CBG_B14,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,220333,115048448,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-01-07 01:02:18.867 -0800,2019_CBG_B15,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,220333,54111744,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
